Parcel ;Introduced_bee;Tree;Nb_buds;Release_date ;Monitoring_date;Day;Weather_grade;Tree_Bloom;Visit;Specie;time_F1;time_F2;time_F3;time_F4;time_F5;time_F6;time_F7;time_F8;time_F9;time_F10;time_F11;time_F12;time_F13;time_F14;time_F15;Average_time/flower;Stderror;nb of flower;
7;cornuta;apple;635;18/04/2019;22/04/2019;4;1;20;6;B.terrestris;4;2;3;2;5;3;2;NA;NA;NA;NA;NA;NA;NA;NA;3;1.154700538;7;
7;cornuta;apple;635;18/04/2019;22/04/2019;4;1;20;7;B.terrestris;1;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.333333333;1.527525232;3;
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;1;B.terrestris;3;3;9;9;4;6;4;7;4;7;4;NA;NA;NA;NA;5.454545455;2.252271581;11;
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;2;O.cornuta;4;4;3;2;2;3;2;NA;NA;NA;NA;NA;NA;NA;NA;2.857142857;0.899735411;7;
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;3;O.cornuta;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;0.707106781;2;
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;4;O.cornuta;1;2;1;5;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.333333333;1.505545305;6;
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;5;B.terrestris;1;4;4;4;3;3;1;5;3;4;2;2;4;5;2;3.133333333;1.302013093;15;
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;6;O.bicornis;3;3;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.5;0.577350269;4;
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;7;A.mellifera;21;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14;9.899494937;2;
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;8;B.terrestris;4;3;2;5;2;5;2;3;3;4;3;4;NA;NA;NA;3.333333333;1.07308674;12;
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;9;O.cornuta;2;2;8;2;2;1;4;NA;NA;NA;NA;NA;NA;NA;NA;3;2.380476143;7;
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;10;O.cornuta;2;4;2;3;2;3;2;NA;NA;NA;NA;NA;NA;NA;NA;2.571428571;0.786795792;7;
7;cornuta;apple;635;18/04/2019;01/05/2019;13;1;100;11;O.cornuta;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0;1;
