;Code;Parcel;Introduced_bee;Tree;Collection_date;Bee;Nb_sample;Ranuculacea;Rosacea;Quercus;Crucifera;Ericaceae;Fagus;Ilex;Salix;C..fenestrada...Asteràcia.fenestrada....Taraxacum.or.similar..;Pinus;Juglans;Aesculus;Corylus;Olea;unknown;Lamiacase..thymus..;Helleborus;Lamium;Betulaceae;Monocot;Polygonum
140;P6cA6;6;cornuta;apple;22/04/2019;cornuta;6;0;96.36363636;0;0;0;0;0;0.909090909;2.727272727;0;0;0;0;0;0;0;0;0;0;0;0
141;P6cA7;6;cornuta;apple;24/04/2019;cornuta;7;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142;P6cA8;6;cornuta;apple;24/04/2019;cornuta;8;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143;P6cA9;6;cornuta;apple;24/04/2019;cornuta;9;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;P7bA1;7;bicornis;apple;01/05/2019;bicornis;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;P7bA10;7;bicornis;apple;01/05/2019;cornuta;10;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
146;P7bA2;7;bicornis;apple;01/05/2019;bicornis;2;0;5.504587156;94.49541284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;P7bA3;7;bicornis;apple;01/05/2019;bicornis;3;35.82089552;2.23880597;61.94029851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;P7bA4;7;bicornis;apple;01/05/2019;bicornis;4;97.08737864;2.912621359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;P7bA5;7;bicornis;apple;01/05/2019;bicornis;5;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;P7bA6;7;bicornis;apple;01/05/2019;cornuta;6;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;P7bA7;7;bicornis;apple;01/05/2019;cornuta;7;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;P7bA8;7;bicornis;apple;01/05/2019;cornuta;8;2.298850575;97.70114943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;P7bA9;7;bicornis;apple;01/05/2019;cornuta;9;0;97.26027397;2.739726027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;P7cA2;7;cornuta;apple;20/04/2019;cornuta;2;0;4.848484848;0;0;0;0;0;94.54545455;0.606060606;0;0;0;0;0;0;0;0;0;0;0;0
155;P7cA3;7;cornuta;apple;20/04/2019;cornuta;3;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
156;P7cA4;7;cornuta;apple;22/04/2019;cornuta;4;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;P7cA5;7;cornuta;apple;22/04/2019;cornuta;5;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
